File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
66.py,2,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
64.py,9,9,9,0,4,68.82557417717732,3,4,7,3,6,9,7,25.26619429851844,2.25,56.848937171666485,0.008422064766172813,3.158274287314805
34.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
120.py,2,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
46.py,13,10,10,0,4,62.35226939706738,5,14,19,12,24,36,19,152.92539048396907,4.285714285714286,655.3945306455817,0.050975130161323025,36.41080725808787
2.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
6.py,28,18,18,10,8,89.83228556589155,2,5,7,5,8,13,7,36.49561398674886,1.6,58.39298237879817,0.012165204662249619,3.2440545765998987
133.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
15.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
48.py,2,3,2,0,1,82.00171614982087,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
81.py,17,4,17,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
20.py,18,11,10,2,3,93.43028432064203,3,9,12,6,12,18,12,64.52932501298082,2.0,129.05865002596164,0.02150977500432694,7.169925001442313
43.py,6,6,6,0,4,72.4649970147854,2,6,8,3,6,9,8,27.0,1.0,27.0,0.009,1.5
55.py,5,5,5,0,2,73.5864370401145,3,5,8,4,8,12,8,36.0,2.4,86.39999999999999,0.012,4.8
