File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
66.py,2,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
64.py,7,7,7,0,3,72.82491762469213,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
34.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
120.py,2,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
46.py,11,9,9,0,4,64.08772209630797,4,12,16,10,20,30,16,120.0,3.3333333333333335,400.0,0.04,22.22222222222222
2.py,11,4,3,0,1,81.30201853836287,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
6.py,35,17,16,8,6,88.42626547254214,4,6,10,5,10,15,10,49.82892142331044,3.3333333333333335,166.09640474436813,0.016609640474436815,9.227578041353786
133.py,12,3,2,0,2,55.43335778802299,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
15.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
48.py,13,4,2,0,1,50.35217716849601,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
81.py,48,32,31,0,14,79.54133224342254,1,13,14,12,24,36,14,137.06477719407374,0.9230769230769231,126.52133279452961,0.04568825906469125,7.0289629330294225
20.py,32,12,11,6,3,86.87256796857973,2,8,10,5,10,15,10,49.82892142331044,1.25,62.28615177913805,0.016609640474436815,3.4603417655076694
43.py,6,6,6,0,4,72.4649970147854,2,6,8,3,6,9,8,27.0,1.0,27.0,0.009,1.5
55.py,5,5,5,0,2,73.5864370401145,3,5,8,4,8,12,8,36.0,2.4,86.39999999999999,0.012,4.8
89.py,16,9,8,5,2,91.62404924829407,4,11,15,6,12,18,15,70.32403072095333,2.1818181818181817,153.43424884571635,0.02344134357365111,8.52412493587313
27.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
57.py,4,4,4,0,5,73.42581848016543,4,9,13,6,12,18,13,66.60791492653966,2.6666666666666665,177.62110647077242,0.022202638308846556,9.867839248376246
96.py,23,12,11,7,6,90.44837133238082,4,9,13,5,10,15,13,55.506595772116384,2.2222222222222223,123.34799060470309,0.01850219859070546,6.852666144705727
143.py,16,14,14,0,7,62.18226189255759,4,7,11,5,10,15,11,51.89147427955947,2.857142857142857,148.26135508445563,0.01729715809318649,8.236741949136423
129.py,38,11,11,7,5,73.09712086377876,5,11,16,7,14,21,16,84.0,3.1818181818181817,267.27272727272725,0.028,14.848484848484848
32.py,14,11,10,0,5,63.91383421856763,6,10,16,6,11,17,16,68.0,3.3,224.39999999999998,0.02266666666666667,12.466666666666665
88.py,16,3,2,0,1,52.460474723024404,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0
127.py,13,13,13,0,5,61.148075914321836,6,10,16,8,16,24,16,96.0,4.8,460.79999999999995,0.032,25.599999999999998
83.py,6,6,6,0,4,69.80627295891593,5,9,14,6,11,17,14,64.72503367497926,3.0555555555555554,197.77093622910328,0.021575011224993085,10.987274234950183
98.py,7,7,7,0,4,68.64803339719332,5,10,15,5,10,15,15,58.60335893412778,2.5,146.50839733531944,0.019534452978042596,8.139355407517748
8.py,14,6,5,0,2,99.25801939416841,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
62.py,7,3,2,0,2,80.65645549964066,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
37.py,5,6,5,0,2,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
84.py,2,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
139.py,10,6,5,0,2,98.57814007788718,3,4,7,3,6,9,7,25.26619429851844,2.25,56.848937171666485,0.008422064766172813,3.158274287314805
110.py,33,15,14,4,11,81.08845487522048,5,13,18,12,23,35,18,145.94737505048093,4.423076923076923,645.5364665694349,0.04864912501682698,35.86313703163527
146.py,6,6,6,0,5,68.67185305566593,6,11,17,7,15,22,17,89.92418250750748,4.090909090909091,367.8716557125306,0.029974727502502494,20.4373142062517
75.py,7,7,7,0,6,65.67270060608163,9,13,22,11,21,32,22,142.7018117963935,7.269230769230769,1037.332401135322,0.04756727059879784,57.629577840851226
36.py,7,7,7,0,5,67.35294256917463,5,12,17,7,14,21,17,85.83671966625714,2.9166666666666665,250.3570990265833,0.02861223988875238,13.908727723699073
102.py,14,6,5,1,3,86.22311755103512,4,6,10,4,7,11,10,36.541209043760986,2.3333333333333335,85.26282110210897,0.012180403014586996,4.736823394561609
21.py,16,9,8,0,2,98.17141833071412,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
121.py,2,2,2,0,4,80.77781576413629,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
149.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
38.py,11,7,6,2,4,94.84321584654624,5,10,15,9,16,25,15,97.67226489021297,4.0,390.6890595608519,0.03255742163007099,21.70494775338066
